,DOCNUM,POSTING DATE,EFFECTIVE DATE,CREATE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,Description,QUANTITY,RATE,BP CATEGORY,TRANSPORTER NAME,Vehicle Type,Business Heads,U_AssetClass,FlowName,Loss
2,TN/331900024,2019-12-03,2019-12-03,2019-12-03,10002721,Lucas TVS LTD _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10002721,Lucas TVS LTD - Chennai,TN01,branch_Chennai,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,68,2300,Non-OEM,21000182,20ft Vehicle,Abhiman Jairam,FLC - Small,LUCAS TVS-CHENNAI-LUCAS TVS-CHENNAI,156400
14,AP/371900002,2019-12-04,2019-12-04,2019-12-04,10003015,ABC  WORKS _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10003015,ABC  WORKS _ Chennai,TN01,branch_Chennai,Return,5500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,58,2300,OEM,21000221,20ft Vehicle,Abhiman Jairam,FLC - Small,ABIENGG-Chennai-ABIENGG-Chennai,133400
19,AP/371900006,2019-12-04,2019-12-04,2019-12-04,10002959,BRAC India PVT LTD _ Sanand,AUTO,West,RENTAL,Sanand,Gujarat,10002959,BRAC India PVT. LTD. - Sanand,GJ02,branch_Kanera,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,72,2300,OEM,21000182,17ft Vehicle,Amrut Dsak,FLC - Small,BRAC-SANAND-BRAC-SANAND,165600
20,UP/91900025,2019-12-04,2019-12-04,2019-12-04,10002879,Shri Raman Enterprises _ Lucknow,AUTO,North,RENTAL,Lucknow,Uttar Pradesh,10002879,Shri Raman Enterprises - Lucknow,UP02,branch_Lucknow,Return,0.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,26,2300,Non-OEM,21000182,19ft Vehicle,Anup Soni,FLC - Small,SHREE RAMA-LUCKNOW-SHREE RAMA-LUCKNOW,59800
21,TN/331900042,2019-12-04,2019-12-04,2019-12-04,10002721,Lucas TVS LTD _ Chennai,AUTO,South,RENTAL,Chennai,Tamil Nadu,10002721,Lucas TVS LTD - Chennai,TN01,branch_Chennai,Return,4200.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,33,2300,Non-OEM,LOGICAL TECH LLP,20ft Vehicle,Abhiman Jairam,FLC - Small,LUCAS TVS-CHENNAI-LUCAS TVS-CHENNAI,75900
24,TN/331900031,2019-12-04,2019-12-04,2019-12-04,10002885,Ashoka Pvt Ltd _ Hosur _ Unit I,AUTO,South,RENTAL,Hosur,Tamil Nadu,10002885,Ashoka Pvt Ltd - Hosur - Unit I,TN01,branch_Chennai,Return,10000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,29,2300,OEM,Cresel Roadways Pvt. Ltd.,17ft Vehicle,Abhiman Jairam,FLC - Small,ALL-HOSUR UNIT 1-ALL-HOSUR UNIT 1,66700
32,Primary/56,2019-12-04,2019-12-04,2019-12-04,10002698,TMO Limited Sanand _ Ahmedabad,AUTO,West,RENTAL,Ahmedabad,Gujarat,10002698,TMO Limited Sanand - Ahmedabad,MH02,branch_Pune,Return,22000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,69,2300,OEM,LOGICAL TECH LLP,20ft Vehicle,Amrut Dsak,FLC - Small,TATA MOTO -AHMEDABAD-TATA MOTO -AHMEDABAD,158700
36,Primary/156,2019-12-05,2019-12-05,2019-12-05,10002880,Maha AM Ltd _ Mumbai,AUTO,West,RENTAL,Mumbai,Maharashtra,10002880,Maha AM Ltd. - Mumbai,MH03,branch_Bhiwandi,Return,4500.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,16,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Amrut Dsak,FLC - Small,M&M-MUMBAI-OLD 1ST-M&M-MUMBAI-OLD 1ST,36800
40,AP/371900008,2019-12-05,2019-12-05,2019-12-05,10002924,TMO Ltd _ Lucknow,AUTO,North,RENTAL,Lucknow,Uttar Pradesh,10002924,TMO Ltd - Lucknow,UP02,branch_Lucknow,Return,5000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,100,2300,OEM,LOGICAL TECH LLP,19ft Vehicle,Anup Soni,FLC - Small,TMO -LUCKNOW-TMO -LUCKNOW,230000
44,AP/371900007,2019-12-05,2019-12-05,2019-12-05,10002911,Maha AM LTD _ Rudrapur,AUTO,North,RENTAL,Rudrapur,Uttarakhand,10002911,Maha AM LTD. - Rudrapur,UT01,branch_Rudrapur,Return,3000.0,COMPANY Transport borne by COMPANY,Plastic Pallets,A020000001,SFLC PP 1200 X 800,58,2300,OEM,LOGICAL TECH LLP,17ft Vehicle,Anup Soni,FLC - Small,M&M-RUDRAPUR-M&M-RUDRAPUR,133400
